Booking ID,Status,Passenger status,Passengers,Pickup ID,Dropoff ID,Actual Pickup Time,Actual Dropoff Time,name_pickup,district_pickup,Pickup Latitude,Pickup Longitude,name_dropoff,district_dropoff,Dropoff Latitude,Dropoff Longitude
253212,Cancelled by client,Cancelled,1,40,0,2024-09-01 08:18:00,2024-09-01 08:34:00,"Irfersdorf, Am Kirchplatz",Irfersdorf,48.994215,11.461103,"Kinding, Bahnhof",Kinding,48.992168,11.377365
253369,Cancelled by client,Cancelled,3,66,0,2024-09-01 08:46:00,2024-09-01 09:09:00,"Wiesenhofen, Kirche",Litterzhofen,49.043035,11.412738,"Kinding, Bahnhof",Kinding,48.992168,11.377365
253808,Cancelled by driver,Cancelled,2,30,0,2024-09-01 08:56:00,2024-09-01 09:09:00,"Beilngries, Frauenkirche",Beilngries,49.036378,11.470632,"Kinding, Bahnhof",Kinding,48.992168,11.377365
253782,Validated,Trip completed,2,40,21,2024-09-01 09:14:00,2024-09-01 09:25:00,"Irfersdorf, Am Kirchplatz",Irfersdorf,48.994215,11.461103,"Beilngries, Deutscher Hof",Beilngries,49.033525,11.475793
252382,Cancelled by driver,Cancelled,1,46,22,2024-09-01 09:41:00,2024-09-01 09:49:00,"Aschbuch, Waldsiedlung",Aschbuch,48.976207,11.491877,"Beilngries, Kelheimer Straße",Beilngries,49.032928,11.479163
251869,Validated,Trip completed,3,27,0,2024-09-01 09:54:00,2024-09-01 10:06:00,"Beilngries, Hafen",Beilngries,49.041112,11.47124,"Kinding, Bahnhof",Kinding,48.992168,11.377365
251083,Validated,Trip completed,1,20,9,2024-09-01 10:39:00,2024-09-01 10:46:00,"Beilngries, ZOB",Beilngries,49.032173,11.476295,"Unteremmendorf, Wendeschleife",Unteremmendorf,48.992112,11.434157
253882,Cancelled by client,Cancelled,1,38,29,2024-09-01 10:29:00,2024-09-01 10:38:00,"Paulushofen, Dorfstraße",Paulushofen,49.010337,11.502283,"Beilngries, Rathaus",Beilngries,49.035103,11.474083
251191,Cancelled by driver,Cancelled,2,19,0,2024-09-01 10:36:00,2024-09-01 10:55:00,"Beilngries, Ringstrasse",Beilngries,49.033832,11.471982,"Kinding, Bahnhof",Kinding,48.992168,11.377365
253916,Validated,Trip completed,2,19,0,2024-09-01 10:36:00,2024-09-01 10:52:00,"Beilngries, Ringstrasse",Beilngries,49.033832,11.471982,"Kinding, Bahnhof",Kinding,48.992168,11.377365
251100,Validated,Trip completed,1,50,38,2024-09-01 11:23:00,2024-09-01 11:34:00,"Wolfsbuch, Fuchsengasse",Wolfsbuch,48.976827,11.559612,"Paulushofen, Dorfstraße",Paulushofen,49.010337,11.502283
253902,Validated,Trip completed,1,38,29,2024-09-01 11:34:00,2024-09-01 11:38:00,"Paulushofen, Dorfstraße",Paulushofen,49.010337,11.502283,"Beilngries, Rathaus",Beilngries,49.035103,11.474083
253352,Validated,Trip completed,2,27,0,2024-09-01 11:41:00,2024-09-01 11:41:00,"Beilngries, Hafen",Beilngries,49.041112,11.47124,"Kinding, Bahnhof",Kinding,48.992168,11.377365
253850,Validated,Trip completed,1,27,0,2024-09-01 11:41:00,2024-09-01 11:41:00,"Beilngries, Hafen",Beilngries,49.041112,11.47124,"Kinding, Bahnhof",Kinding,48.992168,11.377365
253844,Validated,Trip completed,2,46,30,2024-09-01 12:12:00,2024-09-01 12:23:00,"Aschbuch, Waldsiedlung",Aschbuch,48.976207,11.491877,"Beilngries, Frauenkirche",Beilngries,49.036378,11.470632
253595,Cancelled by client,Cancelled,1,46,30,2024-09-01 12:16:00,2024-09-01 12:47:00,"Aschbuch, Waldsiedlung",Aschbuch,48.976207,11.491877,"Beilngries, Frauenkirche",Beilngries,49.036378,11.470632
252795,Validated,Trip completed,2,0,11,2024-09-01 12:35:00,2024-09-01 12:44:00,"Kinding, Bahnhof",Kinding,48.992168,11.377365,"Kratzmuehle, Seerestaurant",Pfraundorf,49.004607,11.447705
252691,Validated,Trip completed,1,53,0,2024-09-01 12:53:00,2024-09-01 13:08:00,Amtmannsdorf,Amtmannsdorf,48.998413,11.530053,"Kinding, Bahnhof",Kinding,48.992168,11.377365
